Country,Impact,Source,BEEF,PORK,EGGS,POUM,ANIMP,DAIR,SGMP,SWHE,SOYA,PULS,OFRU,MAIZ,RICE
BL000000,GHG emissions,CO2SQL,2.522655175,1.668160465,0.720936566,1.325701188,0.677574242,0.149982301,0.724283607,,,,,,
BL000000,GHG emissions,CO2HIL,0.327984051,0.223436346,0.083287226,0.159106114,0.088744839,0.019759893,0.204728365,,,,,,
BL000000,GHG emissions,CO2DIC,0.480975602,0.185242906,0.08185134,0.154760463,0.096550593,0.029492467,0.294740874,,,,,,
BL000000,GHG emissions,CO2OFC,0.011117509,0.071644908,0.061555299,0.094150703,0.022343299,0.001287156,0.004318239,,,,,,
BL000000,GHG emissions,CO2ELC,0.013509551,0.074078172,0.063506223,0.097181112,0.023307232,0.001469906,0.006996015,,,,,,
BL000000,GHG emissions,CO2INC,0.350578085,0.10483747,0.053786203,0.096527728,0.064853085,0.023742558,0.359544069,,,,,,
BL000000,GHG emissions,CO2ELA,0.214813175,0.066449626,0.036473684,0.064706581,0.057538921,0.040688654,0.12466847,,,,,,
BL000000,GHG emissions,CO2INA,0.350923743,0.008293248,0.004004946,0.007307463,0.039808509,0.024029848,0.367589809,,,,,,
DK000000,GHG emissions,N2OMA2,1.098186542,1.129631942,0.085206199,0.216260106,0.386643575,0.068936706,0.372761708,,,,,,
DK000000,GHG emissions,N2OAPL,2.616015698,0.295502455,0.225180315,0.273851863,0.240451501,0.14051706,1.955849943,,,,,,
DK000000,GHG emissions,N2OGRC,0.69159324,0.034543659,0.024576596,0.034080013,0.039781533,0.021860515,0.213350693,,,,,,
DK000000,GHG emissions,N2OSYN,0.911376351,0.252439851,0.177675913,0.256975224,0.129743154,0.047016528,0.584430616,,,,,,
DK000000,GHG emissions,N2OHIL,0.076244171,0.028058419,0.006232342,0.021407149,0.013559354,0.005277333,0.099847124,,,,,,
DK000000,GHG emissions,N2OLEL,0.355324058,0.058508916,0.02482181,0.044842235,0.03683066,0.017453484,0.370608853,,,,,,
DK000000,GHG emissions,N2OCRL,0.673758767,0.119730249,0.046487841,0.123687985,0.074375715,0.034546603,0.600141477,,,,,,
DK000000,GHG emissions,N2OAML,0.360383258,0.134968158,0.056345967,0.131203872,0.063870351,0.021845496,0.246100811,,,,,,
DK000000,GHG emissions,N2OPRL,0.326573558,0.128858695,0.08807219,0.144981964,0.060057282,0.018429032,0.307544674,,,,,,
DK000000,GHG emissions,N2OBUL,0.010723002,0.003603807,0.000272952,0.00349921,0.001807369,0.000721236,0.01484385,,,,,,
DK000000,GHG emissions,N2OSOL,0.301265738,0.103311991,0.009860088,0.10327887,0.051597763,0.020372291,0.416297193,,,,,,
DK000000,GHG emissions,CH4EN2,10.76346104,0.154601488,,,0.620560425,0.53050657,9.372540787,,,,,,
DK000000,GHG emissions,CH4MA2,1.050133851,0.67401711,0.030743664,0.044570978,0.276550527,0.102390554,0.222597844,,,,,,
