Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Vit. B12 (ug),ug/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
Vitamin D2(µg),ug/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
Vitamin D3,ug/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
Vit. D (ug),ug/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
ALA 18:3 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
EPA 20:5 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
DPA 22:5 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
DHA 22:6 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
Vit. A (ug),ug/100g,Ogunji et al 2008,Housefly,Dry weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Dry weight_Poltry manure_Future foods
Water,g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Protein (g),g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,14.67675,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Chitin corrected protein,g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Chitin,g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Ca (mg),mg/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,108.9,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
I (ug),ug/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Fe (mg),mg/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Zn (mg),mg/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Vit. B12 (ug),ug/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Vitamin D2(µg),ug/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Vitamin D3,ug/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Vit. D (ug),ug/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
ALA 18:3 n-3 (g),g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
EPA 20:5 n-3 (g),g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
DPA 22:5 n-3 (g),g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
DHA 22:6 n-3 (g),g/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Vit. A (ug),ug/100g,Zuidhof et al 2003,Housefly,Fresh weight,oats hulls,Future foods,NA,Zuidhof et al 2003_Housefly_Fresh weight_oats hulls_Future foods
Water,g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Protein (g),g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,14.94405,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Chitin corrected protein,g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Chitin,g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Ca (mg),mg/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,101.475,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
I (ug),ug/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Fe (mg),mg/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,6.812685,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Zn (mg),mg/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,8.05266,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Vit. B12 (ug),ug/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Vitamin D2(µg),ug/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Vitamin D3,ug/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Vit. D (ug),ug/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
ALA 18:3 n-3 (g),g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,0.00104544,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
EPA 20:5 n-3 (g),g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,0.00104544,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
DPA 22:5 n-3 (g),g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
DHA 22:6 n-3 (g),g/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,0.00104544,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Vit. A (ug),ug/100g,Pieterse et al 2012,Housefly,Fresh weight,bran milk powder sugar and yeast,Future foods,NA,Pieterse et al 2012_Housefly_Fresh weight_bran milk powder sugar and yeast_Future foods
Water,g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Protein (g),g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,16.72036001,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Chitin corrected protein,g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Chitin,g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Ca (mg),mg/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,525.2058699,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
I (ug),ug/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Fe (mg),mg/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,15.78230574,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Zn (mg),mg/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,6.192725929,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Vit. B12 (ug),ug/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Vitamin D2(µg),ug/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Vitamin D3,ug/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Vit. D (ug),ug/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
ALA 18:3 n-3 (g),g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
EPA 20:5 n-3 (g),g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
DPA 22:5 n-3 (g),g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
DHA 22:6 n-3 (g),g/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Vit. A (ug),ug/100g,Hwangbo 2009,Housefly,Fresh weight,powdered milk sugar and chicken manure,Future foods,NA,Hwangbo 2009_Housefly_Fresh weight_powdered milk sugar and chicken manure_Future foods
Water,g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Protein (g),g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,19.7,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Chitin corrected protein,g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Chitin,g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,1.19,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Ca (mg),mg/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,76.5,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
I (ug),ug/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,10,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Fe (mg),mg/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,12.5,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Zn (mg),mg/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,8.58,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Vit. B12 (ug),ug/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,0.6,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Vitamin D2(µg),ug/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,0.2,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Vitamin D3,ug/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,0.05,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Vit. D (ug),ug/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,0.25,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
ALA 18:3 n-3 (g),g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
EPA 20:5 n-3 (g),g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
DPA 22:5 n-3 (g),g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
DHA 22:6 n-3 (g),g/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,NA,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Vit. A (ug),ug/100g,Finke et al 2003,Housefly,Fresh weight,uknown diet-commercial insects USA,Future foods,30,Finke et al 2003_Housefly_Fresh weight_uknown diet-commercial insects USA_Future foods
Water,g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Protein (g),g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,19.77752554,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Chitin corrected protein,g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Chitin,g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Ca (mg),mg/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
I (ug),ug/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Fe (mg),mg/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Zn (mg),mg/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Vit. B12 (ug),ug/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Vitamin D2(µg),ug/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Vitamin D3,ug/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Vit. D (ug),ug/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
ALA 18:3 n-3 (g),g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,0.028207575,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
EPA 20:5 n-3 (g),g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,0.001621125,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
DPA 22:5 n-3 (g),g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
DHA 22:6 n-3 (g),g/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Vit. A (ug),ug/100g,st Hilaire et al 2007,Housefly,Fresh weight,Cow manure,Future foods,NA,st-Hilaire et al 2007_Housefly_Fresh weight_Cow manure_Future foods
Water,g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Protein (g),g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,9.165715768,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Chitin corrected protein,g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Chitin,g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Ca (mg),mg/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
I (ug),ug/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Fe (mg),mg/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Zn (mg),mg/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Vit. B12 (ug),ug/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Vitamin D2(µg),ug/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Vitamin D3,ug/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Vit. D (ug),ug/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
ALA 18:3 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
EPA 20:5 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
DPA 22:5 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
DHA 22:6 n-3 (g),g/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Vit. A (ug),ug/100g,Ogunji et al 2008,Housefly,Fresh weight,Poltry manure,Future foods,NA,Ogunji et al 2008_Housefly_Fresh weight_Poltry manure_Future foods
Water,g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,62.28,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Protein (g),g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,40.97873314,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Chitin corrected protein,g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Chitin,g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Ca (mg),mg/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,38.41756231,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
I (ug),ug/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Fe (mg),mg/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,8.666819117,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Zn (mg),mg/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,9.604390579,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Vit. B12 (ug),ug/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Vitamin D2(µg),ug/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Vitamin D3,ug/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Vit. D (ug),ug/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
ALA 18:3 n-3 (g),g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,0.060178367,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
EPA 20:5 n-3 (g),g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,0.371099931,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
DPA 22:5 n-3 (g),g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
DHA 22:6 n-3 (g),g/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Vit. A (ug),ug/100g,Siemianowska et al 2013,Mealworm,Dry weight,oats flakes + vegetables,Future foods,NA,Siemianowska et al 2013_Mealworm_Dry weight_oats flakes + vegetables_Future foods
Water,g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,62.62,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Protein (g),g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,50.86,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Chitin corrected protein,g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Chitin,g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Ca (mg),mg/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
I (ug),ug/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Fe (mg),mg/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Zn (mg),mg/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Vit. B12 (ug),ug/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Vitamin D2(µg),ug/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Vitamin D3,ug/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Vit. D (ug),ug/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
ALA 18:3 n-3 (g),g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
EPA 20:5 n-3 (g),g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
DPA 22:5 n-3 (g),g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
DHA 22:6 n-3 (g),g/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
Vit. A (ug),ug/100g,Bednarova et al 2013,Mealworm,Dry weight,commercial Chek republiquediet uknwon,Future foods,NA,Bednarova et al 2013_Mealworm_Dry weight_commercial Chek republiquediet uknwon_Future foods
