Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
EPA 20:5 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,digestate,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_digestate_Future foods
DPA 22:5 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,digestate,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_digestate_Future foods
DHA 22:6 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,digestate,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_digestate_Future foods
Vit. A (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,digestate,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_digestate_Future foods
Water,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,59,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Protein (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,39.9,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Chitin corrected protein,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,37.7,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Chitin,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,5.7,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Ca (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,2872,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
I (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Fe (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,11,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Zn (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,7,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Vit. B12 (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Vitamin D2(µg),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Vitamin D3,ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Vit. D (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
ALA 18:3 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
EPA 20:5 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
DPA 22:5 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
DHA 22:6 n-3 (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Vit. A (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,vegetable waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_vegetable waste_Future foods
Water,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,61.9,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Protein (g),g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,43.1,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Chitin corrected protein,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,40.7,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Chitin,g/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,6.7,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Ca (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,123,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
I (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Fe (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,11,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Zn (mg),mg/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,7,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Vit. B12 (ug),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
Vitamin D2(µg),ug/100g,Spranghlers et al 2016,Black soldier fly,Dry weight,restaurant waste,Future foods,NA,Spranghlers et al 2016_Black soldier fly_Dry weight_restaurant waste_Future foods
